f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises,ln_price,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
Apt,Centro Storico,Paid,No_parking,Off_premises,90,100,4,1,1,94,148,1.27,3,0,3492,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,12194064,42581671488,3,90,57859,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.499809670330265,1.3862943611198906,1.9218120556728056,NA,5.003946305945459,8.158229916959494,66.5567153779729,542.9849865711366,4.543294782270004
Apt,Centro Storico,Paid,No_parking,Off_premises,82,100,4,2,1.5,98,83,0.7,3,2,3537,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,1,2,12510369,44249175153,3,82,60838,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.406719247264253,1.3862943611198906,1.9218120556728056,0.6931471805599453,4.430816798843313,8.17103418920548,66.76579972116487,545.5456321912839,4.584967478670572
Apt,Centro Storico,No_parking,No_parking,No_parking,70,100,2,1,1,97,151,1.3,3,1,3495,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,12215025,42691512375,3,70,64023,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.248495242049359,0.6931471805599453,0.4804530139182014,0,5.0238805208462765,8.15908865466791,66.5707276747306,543.1564689038815,4.574710978503383
Apt,Campo di Marte,No_parking,No_parking,No_parking,62,100,4,1,1,93,96,0.79,3,2,3641,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,13256881,48268303721,3,62,66045,Campo di Marte,Apt,Apartment,No_parking,No_parking,No_parking,4.127134385045092,1.3862943611198906,1.9218120556728056,0.6931471805599453,4.574710978503383,8.200013648175434,67.24022383026339,551.3707531145308,4.532599493153256
Apt,Centro Storico,No_parking,No_parking,No_parking,95,100,5,3,3,93,23,0.19,3,3,3639,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2,1,13242321,48188806119,3,95,66353,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.553876891600541,1.6094379124341003,2.5902903939802346,1.0986122886681098,3.1780538303479458,8.19946419761216,67.23121312792362,551.2599250044425,4.532599493153256
Apt,Centro Storico,Paid,No_parking,Off_premises,80,NA,4,1,1,100,9,0.08,3,2,3556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,12645136,44966103616,3,80,66903,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.382026634673881,1.3862943611198906,1.9218120556728056,0.6931471805599453,2.302585092994046,8.176391596633795,66.85337954150374,546.6194106897209,4.605170185988092
Apt,Centro Storico,Free,No_parking,Off_premises,124,100,3,1,1.5,99,34,0.28,3,1,3588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,12873744,46190993472,3,124,68273,Centro Storico,Apt,Apartment,Free,No_parking,Off_premises,4.820281565605037,1.0986122886681098,1.206948960812582,0,3.5553480614894135,8.185350223178686,66.99995827609136,548.4181234281671,4.59511985013459
Apt,Centro Storico,Paid,No_parking,Off_premises,83,100,6,2,2,95,66,0.56,3,4,3511,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,2,2,12327121,43280521831,3,83,68530,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.418840607796598,1.791759469228055,3.210401995568401,1.3862943611198906,4.204692619390966,8.163656176168432,66.645282162693,544.0691693399565,4.553876891600541
Apt,Campo di Marte,Free,NA,Off_premises,50,NA,2,1,1,92,11,0.17,5,0,1972,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,3888784,7668682048,3,50,72106,Campo di Marte,Apt,Apartment,Free,NA,Off_premises,3.912023005428146,0.6931471805599453,0.4804530139182014,NA,2.4849066497880004,7.586803535162581,57.55958788115543,436.6932848192513,4.5217885770490405
Apt,Centro Storico,Paid,No_parking,Off_premises,70,100,4,1,1,93,86,1.53,2,2,1688,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,2849344,4809692672,2,70,73345,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.248495242049359,1.3862943611198906,1.9218120556728056,0.6931471805599453,4.465908118654584,7.431299675155903,55.22421486197223,410.387689964514,4.532599493153256
