"f_room_type","f_neighbourhood_cleansed","f_parking_free_vs_paid","f_parking_type","f_parking_on_vs_off_premises","euro_price_day","n_accommodates","n_bedrooms","n_bathrooms","n_review_scores_rating","n_number_of_reviews","n_reviews_per_month","n_minimum_nights","n_beds","n_days_since","d_airconditioning","d_balcony","d_bathtub","d_bedlinens","d_breakfast","d_changingtable","d_cleaningproducts","d_complimentarybreakfastbuffet","d_conditioner","d_dedicatedworkspace","d_dedicatedworkspacetable","d_diningareafor12people","d_dryer","d_espressomachine","d_gasstove","d_hairdryer","d_hangers","d_hottub","d_inductionstove","d_ironingboard","d_laundromatnearby","d_luggagestorage","d_nespressomachine","d_piano","d_pool","d_portableairconditioning","d_roomdarkeningshades","d_samsungrefrigerator","d_sunloungers","d_valetparkingu2014u20ac30day","d_wifi","d_windowacunit","n_accommodates2","f_bathroom","f_number_of_reviews","n_days_since2","n_days_since3","f_minimum_nights","price","id","neighbourhood_cleansed","room_type","property_type","parking_free_vs_paid","parking_type","parking_on_vs_off_premises","ln_price","ln_accommodates","ln_accommodates2","ln_beds","ln_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","ln_review_scores_rating","flag_days_since","flag_review_scores_rating","flag_reviews_per_month"
"Apt","Centro Storico","Paid","No_parking","Off_premises",115,4,1,1,96,69,0.61,3,2,3417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,11675889,39896512713,3,115,57644,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.74493212836325,1.38629436111989,1.92181205567281,0.693147180559945,4.24849524204936,8.13651825211529,66.2029292670053,538.661342324486,4.56434819146784,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",90,4,1,1,94,148,1.27,3,0,3492,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,12194064,42581671488,3,90,57859,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.49980967033027,1.38629436111989,1.92181205567281,0,5.00394630594546,8.15822991695949,66.5567153779729,542.984986571137,4.54329478227,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",82,4,2,1.5,98,83,0.7,3,2,3537,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,1,2,12510369,44249175153,3,82,60838,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.40671924726425,1.38629436111989,1.92181205567281,0.693147180559945,4.43081679884331,8.17103418920548,66.7657997211649,545.545632191284,4.58496747867057,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",70,2,1,1,97,151,1.3,3,1,3495,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,12215025,42691512375,3,70,64023,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.24849524204936,0.693147180559945,0.480453013918201,0,5.02388052084628,8.15908865466791,66.5707276747306,543.156468903882,4.57471097850338,0,0,0
"Apt","Campo di Marte","No_parking","No_parking","No_parking",62,4,1,1,93,96,0.79,3,2,3641,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,13256881,48268303721,3,62,66045,"Campo di Marte","Apt","Apartment","No_parking","No_parking","No_parking",4.12713438504509,1.38629436111989,1.92181205567281,0.693147180559945,4.57471097850338,8.20001364817543,67.2402238302634,551.370753114531,4.53259949315326,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",95,5,3,3,93,23,0.19,3,3,3639,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2,1,13242321,48188806119,3,95,66353,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.55387689160054,1.6094379124341,2.59029039398023,1.09861228866811,3.17805383034795,8.19946419761216,67.2312131279236,551.259925004442,4.53259949315326,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",80,4,1,1,100,9,0.08,3,2,3556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,12645136,44966103616,3,80,66903,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.38202663467388,1.38629436111989,1.92181205567281,0.693147180559945,2.30258509299405,8.1763915966338,66.8533795415037,546.619410689721,4.60517018598809,0,0,0
"Apt","Centro Storico","Free","No_parking","Off_premises",124,3,1,1.5,99,34,0.28,3,1,3588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,12873744,46190993472,3,124,68273,"Centro Storico","Apt","Apartment","Free","No_parking","Off_premises",4.82028156560504,1.09861228866811,1.20694896081258,0,3.55534806148941,8.18535022317869,66.9999582760914,548.418123428167,4.59511985013459,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",83,6,2,2,95,66,0.56,3,4,3511,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,2,2,12327121,43280521831,3,83,68530,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.4188406077966,1.79175946922805,3.2104019955684,1.38629436111989,4.20469261939097,8.16365617616843,66.645282162693,544.069169339956,4.55387689160054,0,0,0
"Apt","Campo di Marte","Free","Unknown","Off_premises",50,2,1,1,92,11,0.17,5,0,1972,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,3888784,7668682048,3,50,72106,"Campo di Marte","Apt","Apartment","Free","Unknown","Off_premises",3.91202300542815,0.693147180559945,0.480453013918201,0,2.484906649788,7.58680353516258,57.5595878811554,436.693284819251,4.52178857704904,0,0,0
